JobID,JobLink,Location,WorkType,Role,Skills,Company
30,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Intern,Accountant,"['Tally', 'GST', 'Accounting', 'Contract negotiation', 'Sales strategy and planning', 'Sales forecasting']",Bharti Airtel
31,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Part-Time,Accountant,"['Tax Experience', 'MSExcel', 'Tally', 'GAAP knowledge', 'Financial reporting']",PulteGroup
32,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Temporary,Accountant,"['Accounting', 'MSExcel', 'Tax Experience', 'Sales and negotiation', 'Client needs analysis']",WESCO International
33,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Temporary,Accountant,"['Tally', 'MSExcel', 'Accounting', 'GAAP knowledge', 'Financial reporting']",Andersons
34,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Full-Time,Accountant,"['Tally', 'GST', 'Accounting', 'Legal knowledge', 'Fraud detection']",Arrow Electronics
35,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Bangalore,Part-Time,Accountant,"['MSExcel', 'Tax Experience', 'Accounting', 'Business development', 'Client needs analysis']",Rolls-Royce Holdings
36,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Kolkata,Part-Time,Accountant,"['Tax Experience', 'Accounting', 'Tally', 'Legal knowledge', 'Fraud detection']",W.R. Berkley
37,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Gurgaon,Intern,Accountant,"['Tally', 'Tax Experience', 'GST', 'Campaign optimization', 'Account management', 'Client relations']",Segro
38,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Chennai,Intern,Accountant,"['MSExcel', 'Tally', 'Tax Experience', 'Sales strategy and planning', 'Sales forecasting', 'Customer relationship management']",China Telecom
39,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Temporary,Accountant,"['Accounting', 'Tally', 'GST', 'Sales metrics and reporting', 'Contract negotiation', 'Solution selling']",Lincoln National
40,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Full-Time,Accountant,"['GST', 'Tally', 'Tax Experience', 'Tax planning', 'software proficiency']",Diageo
41,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Gurgaon,Intern,Accountant,"['Tally', 'Tax Experience', 'Accounting', 'Business development', 'Client needs analysis']",Burlington Stores
42,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Intern,Accountant,"['GST', 'Accounting', 'Tally', 'QuickBooks', 'Financial reporting']","Wyndham Hotels & Resorts, Inc."
43,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Contract,Accountant,"['MSExcel', 'Tally', 'Accounting', 'Tax regulations', 'software proficiency']",L&T Finance Holdings
44,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Full-Time,Accountant,"['Tally', 'Tax Experience', 'GST', 'Client needs analysis', 'Account management']",Coupang
45,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Temporary,Accountant,"['Tally', 'GST', 'MSExcel', 'Sales and negotiation', 'Client needs analysis']",Huntington Ingalls Industries
46,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Intern,Accountant,"['MSExcel', 'Accounting', 'Tally', 'Tax regulations', 'Tax preparation']",Franklin Resources
47,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Full-Time,Accountant,"['MSExcel', 'Tax Experience', 'GST', 'Auditing', 'GAAP knowledge']","The Vanguard Group, Inc."
48,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Kolkata,Intern,Accountant,"['Tax Experience', 'GST', 'Tally', 'Financial reporting', 'Auditing']",Halma
49,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Mumbai,Contract,Accountant,"['Tax Experience', 'Tally', 'Accounting', 'Sales metrics and reporting', 'Sales strategy and planning', 'Solution selling']",DISH Network
50,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Full-Time,Accountant,"['MSExcel', 'Tax Experience', 'GST', 'Accounting Tax', 'Tax preparation']",Sky plc
51,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Chennai,Temporary,Accountant,"['Accounting', 'Tally', 'MSExcel', 'Solution selling', 'Sales metrics and reporting', 'Customer relationship management']",Chesapeake Energy
52,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Temporary,Accountant,"['GST', 'Tax Experience', 'MSExcel', 'Client relations', 'Account management', 'Marketing strategies']","Workday, Inc."
53,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Kolkata,Full-Time,Accountant,"['MSExcel', 'Tally', 'GST', 'GAAP knowledge', 'QuickBooks']",Jackson Financial
54,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Mumbai,Intern,Accountant,"['Tally', 'MSExcel', 'GST', 'Tax planning', 'Tax preparation']",Weyerhaeuser
55,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Chennai,Temporary,Accountant,"['MSExcel', 'Accounting', 'Tally', 'Account management', 'Solution selling', 'Sales metrics and reporting']",Asian Paints
56,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Intern,Accountant,"['GST', 'Accounting', 'Tax Experience', 'Fraud detection', 'Legal knowledge']",Fifth Third Bancorp
57,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Gurgaon,Temporary,Accountant,"['Tax Experience', 'Accounting', 'MSExcel', 'Campaign optimization', 'Data analysis', 'Marketing strategies']",Consolidated Edison
58,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Mumbai,Intern,Accountant,"['GST', 'Tally', 'Tax Experience', 'GAAP knowledge', 'Financial reporting']",Victrex
59,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Temporary,Accountant,"['Accounting', 'Tax Experience', 'GST', 'Contract negotiation', 'Sales forecasting', 'Account management']",William Hill plc
60,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Part-Time,Accountant,"['Accounting', 'MSExcel', 'Tax Experience', 'Contract negotiation', 'Sales metrics and reporting', 'Sales strategy and planning']",Alumina Limited
61,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Full-Time,Accountant,"['Accounting', 'Tax Experience', 'MSExcel', 'Client needs analysis', 'Sales and negotiation']",Chipotle Mexican Grill
62,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Temporary,Accountant,"['GST', 'MSExcel', 'Tally', 'Financial reporting', 'QuickBooks']",Huntington Ingalls Industries
63,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Gurgaon,Full-Time,Accountant,"['GST', 'Tax Experience', 'Tally', 'GAAP knowledge', 'Auditing']",Centene
64,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Gurgaon,Part-Time,Accountant,"['GST', 'MSExcel', 'Tax Experience', 'Accounting Tax', 'software proficiency']",Jones Lang LaSalle
65,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Gurgaon,Temporary,Accountant,"['MSExcel', 'GST', 'Accounting', 'Tax preparation', 'Tax planning']",EnLink Midstream
66,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Chennai,Contract,Accountant,"['GST', 'Tax Experience', 'Tally', 'QuickBooks', 'Financial reporting']",Humana
67,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Bangalore,Part-Time,Accountant,"['Tally', 'GST', 'Accounting', 'GAAP knowledge', 'Auditing']",Hochschild Mining
68,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Intern,Accountant,"['MSExcel', 'Tax Experience', 'GST', 'Customer relationship management', 'Solution selling', 'Contract negotiation']",TD Ameritrade Holding Corporation
69,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Contract,Accountant,"['Tax Experience', 'MSExcel', 'Accounting', 'Customer relationship management', 'Sales forecasting', 'Account management']",United Rentals
70,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Bangalore,Full-Time,Accountant,"['Accounting', 'GST', 'MSExcel', 'Tax regulations', 'Tax preparation']",Industrial and Commercial Bank of China (ICBC)
71,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Gurgaon,Intern,Accountant,"['Accounting', 'Tally', 'Tax Experience', 'Solution selling', 'Customer relationship management', 'Contract negotiation']",Bosch Limited
72,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Temporary,Accountant,"['Tax Experience', 'MSExcel', 'Tally', 'Account management', 'Campaign optimization', 'Data analysis']",Tesco
73,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Kolkata,Contract,Accountant,"['Tax Experience', 'GST', 'Tally', 'Communication skills', 'Campaign optimization', 'Account management']",CRRC Corporation
74,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Intern,Accountant,"['Tax Experience', 'Tally', 'GST', 'Contract negotiation', 'Sales strategy and planning', 'Solution selling']",St. James's Place plc
75,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Full-Time,Accountant,"['MSExcel', 'Accounting', 'GST', 'Client needs analysis', 'Sales and negotiation']",Tractor Supply
76,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Part-Time,Accountant,"['Tally', 'Accounting', 'GST', 'Contract negotiation', 'Sales metrics and reporting', 'Customer relationship management']",American Express
